"region","cell_class","panel","gene","bin","z_pre","offset","z_post"
"MTG","Astro","METAB","SLC2A3",0.45,0.0908999939734657,0.0156015083396798,0.0752984856337859
"MTG","Astro","METAB","SLC2A3",0.55,0.0130922651405103,0.00065879251592257,0.0124334726245877
"MTG","Astro","METAB","SLC2A3",0.65,-0.00450782293549353,0.0102102428535229,-0.0147180657890164
"MTG","Astro","METAB","SLC2A3",0.75,-0.0493373057919717,5.77811448004009e-05,-0.0493950869367721
"MTG","Astro","METAB","SLC2A3",0.85,-0.059976547831799,-0.00660121207881921,-0.0533753357529798
"MTG","Astro","METAB","SLC2A3",0.95,-0.00356102780720516,-0.0194205615898604,0.0158595337826553
"MTG","Astro","METAB","PYGB",0.15,-0.01380450009111,0.0158398877419187,-0.0296443878330286
"MTG","Astro","METAB","PYGB",0.25,0.123144955983125,0.0116301375692127,0.111514818413913
"MTG","Astro","METAB","PYGB",0.35,0.00501157383897338,0.00173785494192052,0.00327371889705286
"MTG","Astro","METAB","PYGB",0.45,0.163841172766657,0.0156015083396798,0.148239664426977
"MTG","Astro","METAB","PYGB",0.55,0.00729387172779767,0.00065879251592257,0.0066350792118751
"MTG","Astro","METAB","PYGB",0.65,0.0188490676724785,0.0102102428535229,0.00863882481895559
"MTG","Astro","METAB","PYGB",0.75,-0.0161755610842539,5.77811448004009e-05,-0.0162333422290543
"MTG","Astro","METAB","PYGB",0.85,-0.0301503245412944,-0.00660121207881921,-0.0235491124624751
"MTG","Astro","METAB","PYGB",0.95,-0.0996618890412768,-0.0194205615898604,-0.0802413274514163
